Incident-id,Date(dd/mm/yr),Animal,village,District,State,Victim age,Victim outcome,Incident details,Source url,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,lat,lon,elevation,dist_water,dist_forest,dist_village
275,02-07-23,leopard,dhura,champawat,Uttarakhand,--,Dead,The leopard attacked some women who were going to a forest to collect fodder for their livestock,"Leopard attacks, drags woman's body into forest in Uttarakhand - India Today",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.293877288541346,80.09728611089834,606,2847,1070,568
283,24/12/22,Tiger,ramnagar,nainital,Uttarakhand,--,Dead,A tiger attacked three local men drinking in the Corbett-Ramnagar forest area killing one of them.,Corbett: Jim Corbett Tiger Attack: Tiger on prowl kills one of three men drinking in Jim Corbett | Dehradun News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.42036669685869,79.50523028927232,430,1743,1008,1062
284,24/05/22,Tiger,talodhi,chandrapur,Maharastra,50yr,Dead,She had gone to collect tendu leaves in the forest under t ange was killed by a tiger,Tiger kills couple in Talodhi forest | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00428573512368,79.25251378382224,370,2135,93,108
289,01-05-22,leopard,durgapur,chandrapur,Maharastra,47yr,Dead,A woman was killed by a leopard in the front yard of her house in Durgapur village,"Leopard kills woman in Durgapur, shepherd dies in tiger attack | Nagpur News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.95966353837314,79.28636381551313,740,2327,957,1716
290,30/04/22,Tiger,maroda,chandrapur,Maharastra,60yr,Dead,He had taken his oxen for grazing to his farm near the village when the attacked happened,"Leopard kills woman in Durgapur, shepherd dies in tiger attack | Nagpur News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98760896734799,79.28817986078933,235,612,1011,1065
293,14/05/25,Tiger,karbada,chandrapur,Maharastra,54yr,Dead,"The woman went ?into the forest near Karbada village to collect tendu leaves,when a tiger tiger hiding in the bushes suddenly pounced on her","Tiger mauls another woman in Chandrapur, sixth death in five days | Mumbai news",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.926857936926112,79.32110654785296,724,2535,452,1209
295,19/09/24,Tiger,mul,chandrapur,Maharastra,--,Dead,He s had gone to forests for grazing cattle when a lurking tiger suddenly attacked and killed him,Tiger kills shepherd in Chandrapur district; 6th such incident in two months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.942278200109637,79.29558434491646,359,1849,1227,934
296,15/05/24,Tiger,khangao,chandrapur,Maharastra,33yr,Dead,"During an overnight vigil on standing crop, the farmer fell prey to a tiger, which dragged his dismembered body to an adjacent jungle","Tiger: Tiger devours Chimur farmer, 9th in Chandrapur this year | Nagpur News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.969480167364434,79.2796693659824,442,2124,911,397
297,14/03/24,Tiger,ballapur range,chandrapur,Maharastra,58yr,Dead,The incident took place in forest area number 494 in Ballarpur range when the victim had gone to collect wood,58-Year-Old Man Killed In Tiger Attack In Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.916107936104485,79.31534215381294,285,275,217,1246
298,11-08-24,Tiger,pench,seoni,Madhya pradesh,--,injured,While he was guiding the livestock he was attacked,Pench Tiger Reserve: How a Man Survived a Tiger Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.092831179851352,79.55874917692174,777,847,473,633
